Council area,Registration Year,Standardised birth rate,
Perth and Kinross,2001,11.7,
Renfrewshire,2001,10.4,
Scotland,2001,10.4,
Scottish Borders,2001,11.9,
Shetland Islands,2001,12.6,
South Ayrshire,2001,11.0,
South Lanarkshire,2001,10.7,
Stirling,2001,9.8,
West Dunbartonshire,2001,10.4,
West Lothian,2001,11.6,
Aberdeen City,2002,8.8,
Aberdeenshire,2002,11.4,
Angus,2002,10.8,
Argyll and Bute,2002,10.7,
City of Edinburgh,2002,8.1,
Clackmannanshire,2002,10.6,
Dumfries and Galloway,2002,11.2,
Dundee City,2002,9.5,
East Ayrshire,2002,10.1,
East Dunbartonshire,2002,10.3,
East Lothian,2002,11.2,
East Renfrewshire,2002,11.8,
Falkirk,2002,10.3,
Fife,2002,10.5,
Glasgow City,2002,9.3,
Highland,2002,11.0,
Inverclyde,2002,9.9,
Midlothian,2002,11.3,
Moray,2002,11.1,
Na h-Eileanan Siar,2002,11.7,
North Ayrshire,2002,10.7,
North Lanarkshire,2002,10.9,
Orkney Islands,2002,10.4,
Perth and Kinross,2002,11.0,
Renfrewshire,2002,10.6,
Scotland,2002,10.1,
Scottish Borders,2002,11.5,
Shetland Islands,2002,10.5,
South Ayrshire,2002,10.0,
South Lanarkshire,2002,10.4,
Stirling,2002,9.7,
West Dunbartonshire,2002,10.1,
West Lothian,2002,11.4,
Aberdeen City,2003,8.4,
Aberdeenshire,2003,11.4,
Angus,2003,11.7,
Argyll and Bute,2003,10.4,
City of Edinburgh,2003,8.3,
Clackmannanshire,2003,10.3,
Dumfries and Galloway,2003,10.9,
Dundee City,2003,10.2,
East Ayrshire,2003,10.9,
East Dunbartonshire,2003,10.5,
East Lothian,2003,11.7,
East Renfrewshire,2003,11.5,
Falkirk,2003,10.8,
Fife,2003,10.7,
Glasgow City,2003,9.6,
Highland,2003,11.5,
Inverclyde,2003,10.5,
Midlothian,2003,11.2,
Moray,2003,10.3,
Na h-Eileanan Siar,2003,12.4,
North Ayrshire,2003,10.8,
North Lanarkshire,2003,11.1,
Orkney Islands,2003,10.7,
Perth and Kinross,2003,11.4,
Renfrewshire,2003,10.5,
Scotland,2003,10.3,
Scottish Borders,2003,11.8,
Shetland Islands,2003,12.7,
South Ayrshire,2003,10.4,
South Lanarkshire,2003,10.4,
Stirling,2003,10.0,
West Dunbartonshire,2003,10.6,
West Lothian,2003,11.8,
Aberdeen City,2004,8.8,
Aberdeenshire,2004,11.4,
Angus,2004,11.3,
Argyll and Bute,2004,11.5,
City of Edinburgh,2004,8.2,
Clackmannanshire,2004,10.9,
Dumfries and Galloway,2004,12.0,
Dundee City,2004,10.2,
East Ayrshire,2004,11.2,
