Council area,Registration Year,Number of marriages,,,,,,,,,,
South Ayrshire,2003,819,,,,,,,,,,
South Lanarkshire,2003,1081,,,,,,,,,,
Stirling,2003,883,,,,,,,,,,
West Dunbartonshire,2003,487,,,,,,,,,,
West Lothian,2003,631,,,,,,,,,,
Aberdeen City,2004,930,,,,,,,,,,
Aberdeenshire,2004,1095,,,,,,,,,,
Angus,2004,418,,,,,,,,,,
Argyll and Bute,2004,908,,,,,,,,,,
City of Edinburgh,2004,2933,,,,,,,,,,
Clackmannanshire,2004,177,,,,,,,,,,
Dumfries and Galloway,2004,6731,,,,,,,,,,
Dundee City,2004,622,,,,,,,,,,
East Ayrshire,2004,344,,,,,,,,,,
East Dunbartonshire,2004,363,,,,,,,,,,
East Lothian,2004,417,,,,,,,,,,
East Renfrewshire,2004,463,,,,,,,,,,
Falkirk,2004,647,,,,,,,,,,
Fife,2004,1927,,,,,,,,,,
Glasgow City,2004,2555,,,,,,,,,,
Highland,2004,1701,,,,,,,,,,
Inverclyde,2004,275,,,,,,,,,,
Midlothian,2004,720,,,,,,,,,,
Moray,2004,348,,,,,,,,,,
Na h-Eileanan Siar,2004,104,,,,,,,,,,
North Ayrshire,2004,677,,,,,,,,,,
North Lanarkshire,2004,1183,,,,,,,,,,
Orkney Islands,2004,138,,,,,,,,,,
Perth and Kinross,2004,1017,,,,,,,,,,
Renfrewshire,2004,545,,,,,,,,,,
Scotland,2004,"32,154",,,,,,,,,,
Scottish Borders,2004,871,,,,,,,,,,
Shetland Islands,2004,111,,,,,,,,,,
South Ayrshire,2004,840,,,,,,,,,,
South Lanarkshire,2004,1093,,,,,,,,,,
Stirling,2004,853,,,,,,,,,,
West Dunbartonshire,2004,498,,,,,,,,,,
West Lothian,2004,650,,,,,,,,,,
Aberdeen City,2005,902,,,,,,,,,,
Aberdeenshire,2005,1145,,,,,,,,,,
Angus,2005,380,,,,,,,,,,
Argyll and Bute,2005,883,,,,,,,,,,
City of Edinburgh,2005,2625,,,,,,,,,,
Clackmannanshire,2005,176,,,,,,,,,,
Dumfries and Galloway,2005,5994,,,,,,,,,,
Dundee City,2005,622,,,,,,,,,,
East Ayrshire,2005,371,,,,,,,,,,
East Dunbartonshire,2005,327,,,,,,,,,,
East Lothian,2005,407,,,,,,,,,,
East Renfrewshire,2005,427,,,,,,,,,,
Falkirk,2005,675,,,,,,,,,,
Fife,2005,1927,,,,,,,,,,
Glasgow City,2005,2382,,,,,,,,,,
Highland,2005,1748,,,,,,,,,,
Inverclyde,2005,278,,,,,,,,,,
Midlothian,2005,701,,,,,,,,,,
Moray,2005,440,,,,,,,,,,
Na h-Eileanan Siar,2005,102,,,,,,,,,,
North Ayrshire,2005,747,,,,,,,,,,
North Lanarkshire,2005,1144,,,,,,,,,,
Orkney Islands,2005,118,,,,,,,,,,
Perth and Kinross,2005,1100,,,,,,,,,,
Renfrewshire,2005,567,,,,,,,,,,
Scotland,2005,"30,881",,,,,,,,,,
Scottish Borders,2005,780,,,,,,,,,,
Shetland Islands,2005,103,,,,,,,,,,
South Ayrshire,2005,770,,,,,,,,,,
South Lanarkshire,2005,1081,,,,,,,,,,
Stirling,2005,781,,,,,,,,,,
West Dunbartonshire,2005,510,,,,,,,,,,
West Lothian,2005,668,,,,,,,,,,
Aberdeen City,2006,952,,,,,,,,,,
Aberdeenshire,2006,1148,,,,,,,,,,
Angus,2006,398,,,,,,,,,,
Argyll and Bute,2006,976,,,,,,,,,,
City of Edinburgh,2006,2628,,,,,,,,,,
Clackmannanshire,2006,178,,,,,,,,,,
Dumfries and Galloway,2006,5490,,,,,,,,,,
Dundee City,2006,582,,,,,,,,,,
East Ayrshire,2006,329,,,,,,,,,,
East Dunbartonshire,2006,283,,,,,,,,,,
East Lothian,2006,384,,,,,,,,,,
East Renfrewshire,2006,434,,,,,,,,,,
Falkirk,2006,697,,,,,,,,,,
Fife,2006,1839,,,,,,,,,,
Glasgow City,2006,2279,,,,,,,,,,
Highland,2006,1716,,,,,,,,,,
Inverclyde,2006,276,,,,,,,,,,
Midlothian,2006,566,,,,,,,,,,
Moray,2006,399,,,,,,,,,,
Na h-Eileanan Siar,2006,98,,,,,,,,,,
North Ayrshire,2006,708,,,,,,,,,,
North Lanarkshire,2006,1153,,,,,,,,,,
Orkney Islands,2006,112,,,,,,,,,,
Perth and Kinross,2006,1089,,,,,,,,,,
Renfrewshire,2006,523,,,,,,,,,,
Scotland,2006,"29,898",,,,,,,,,,
Scottish Borders,2006,790,,,,,,,,,,
Shetland Islands,2006,95,,,,,,,,,,
South Ayrshire,2006,772,,,,,,,,,,
South Lanarkshire,2006,1068,,,,,,,,,,
Stirling,2006,778,,,,,,,,,,
West Dunbartonshire,2006,505,,,,,,,,,,
West Lothian,2006,653,,,,,,,,,,
Aberdeen City,2007,897,,,,,,,,,,
Aberdeenshire,2007,1299,,,,,,,,,,
Angus,2007,448,,,,,,,,,,
Argyll and Bute,2007,903,,,,,,,,,,
City of Edinburgh,2007,2638,,,,,,,,,,
Clackmannanshire,2007,179,,,,,,,,,,
Dumfries and Galloway,2007,5476,,,,,,,,,,
Dundee City,2007,483,,,,,,,,,,
East Ayrshire,2007,378,,,,,,,,,,
East Dunbartonshire,2007,312,,,,,,,,,,
East Lothian,2007,419,,,,,,,,,,
East Renfrewshire,2007,393,,,,,,,,,,
Falkirk,2007,751,,,,,,,,,,
Fife,2007,1817,,,,,,,,,,
Glasgow City,2007,2279,,,,,,,,,,
Highland,2007,1663,,,,,,,,,,
Inverclyde,2007,250,,,,,,,,,,
Midlothian,2007,542,,,,,,,,,,
Moray,2007,453,,,,,,,,,,
Na h-Eileanan Siar,2007,100,,,,,,,,,,
North Ayrshire,2007,724,,,,,,,,,,
North Lanarkshire,2007,1025,,,,,,,,,,
Orkney Islands,2007,97,,,,,,,,,,
Perth and Kinross,2007,1172,,,,,,,,,,
Renfrewshire,2007,521,,,,,,,,,,
Scotland,2007,"29,866",,,,,,,,,,
Scottish Borders,2007,750,,,,,,,,,,
Shetland Islands,2007,83,,,,,,,,,,
South Ayrshire,2007,798,,,,,,,,,,
South Lanarkshire,2007,1172,,,,,,,,,,
Stirling,2007,754,,,,,,,,,,
West Dunbartonshire,2007,414,,,,,,,,,,
West Lothian,2007,676,,,,,,,,,,
Aberdeen City,2008,811,,,,,,,,,,
Aberdeenshire,2008,1205,,,,,,,,,,
Angus,2008,447,,,,,,,,,,
Argyll and Bute,2008,912,,,,,,,,,,
City of Edinburgh,2008,2598,,,,,,,,,,
Clackmannanshire,2008,176,,,,,,,,,,
Dumfries and Galloway,2008,5261,,,,,,,,,,
Dundee City,2008,465,,,,,,,,,,
East Ayrshire,2008,364,,,,,,,,,,
East Dunbartonshire,2008,275,,,,,,,,,,
East Lothian,2008,465,,,,,,,,,,
East Renfrewshire,2008,397,,,,,,,,,,
Falkirk,2008,783,,,,,,,,,,
Fife,2008,1693,,,,,,,,,,
Glasgow City,2008,2294,,,,,,,,,,
Highland,2008,1644,,,,,,,,,,
Inverclyde,2008,273,,,,,,,,,,
Midlothian,2008,510,,,,,,,,,,
Moray,2008,396,,,,,,,,,,
Na h-Eileanan Siar,2008,109,,,,,,,,,,
North Ayrshire,2008,661,,,,,,,,,,
North Lanarkshire,2008,1008,,,,,,,,,,
Orkney Islands,2008,121,,,,,,,,,,
Perth and Kinross,2008,1062,,,,,,,,,,
Renfrewshire,2008,470,,,,,,,,,,
Scotland,2008,"28,903",,,,,,,,,,
Scottish Borders,2008,740,,,,,,,,,,
Shetland Islands,2008,97,,,,,,,,,,
South Ayrshire,2008,758,,,,,,,,,,
South Lanarkshire,2008,1211,,,,,,,,,,
Stirling,2008,680,,,,,,,,,,
West Dunbartonshire,2008,430,,,,,,,,,,
West Lothian,2008,587,,,,,,,,,,
Aberdeen City,2009,813,,,,,,,,,,
Aberdeenshire,2009,1195,,,,,,,,,,
Angus,2009,479,,,,,,,,,,
Argyll and Bute,2009,914,,,,,,,,,,
City of Edinburgh,2009,2522,,,,,,,,,,
Clackmannanshire,2009,184,,,,,,,,,,
Dumfries and Galloway,2009,4632,,,,,,,,,,
Dundee City,2009,480,,,,,,,,,,
East Ayrshire,2009,331,,,,,,,,,,
East Dunbartonshire,2009,259,,,,,,,,,,
East Lothian,2009,461,,,,,,,,,,
