Council area,Registration Year,Standardised death rate,,,,
Scottish Borders,1997,10.6,,,,
Shetland Islands,1997,11.8,,,,
South Ayrshire,1997,11.3,,,,
South Lanarkshire,1997,12.5,,,,
Stirling,1997,10.8,,,,
West Dunbartonshire,1997,13.9,,,,
West Lothian,1997,12.7,,,,
Aberdeen City,1998,10.6,,,,
Aberdeenshire,1998,10.1,,,,
Angus,1998,10.6,,,,
Argyll and Bute,1998,12,,,,
City of Edinburgh,1998,10.7,,,,
Clackmannanshire,1998,11.5,,,,
Dumfries and Galloway,1998,10.5,,,,
Dundee City,1998,12.1,,,,
East Ayrshire,1998,11.9,,,,
East Dunbartonshire,1998,9.6,,,,
East Lothian,1998,10.9,,,,
East Renfrewshire,1998,9.7,,,,
Falkirk,1998,11.7,,,,
Fife,1998,11.2,,,,
Glasgow City,1998,14.2,,,,
Highland,1998,11.1,,,,
Inverclyde,1998,13.3,,,,
Midlothian,1998,11.9,,,,
Moray,1998,10.4,,,,
Na h-Eileanan Siar,1998,11.3,,,,
North Ayrshire,1998,11.9,,,,
North Lanarkshire,1998,12.7,,,,
Orkney Islands,1998,11.5,,,,
Perth and Kinross,1998,10.5,,,,
Renfrewshire,1998,12.5,,,,
Scotland,1998,11.7,,,,
Scottish Borders,1998,10.4,,,,
Shetland Islands,1998,11.8,,,,
South Ayrshire,1998,11,,,,
South Lanarkshire,1998,12.1,,,,
Stirling,1998,10.5,,,,
West Dunbartonshire,1998,12.8,,,,
West Lothian,1998,12.8,,,,
Aberdeen City,1999,11.2,,,,
Aberdeenshire,1999,10.1,,,,
Angus,1999,11.4,,,,
Argyll and Bute,1999,11.5,,,,
City of Edinburgh,1999,11.1,,,,
Clackmannanshire,1999,11.3,,,,
Dumfries and Galloway,1999,10.7,,,,
Dundee City,1999,12,,,,
East Ayrshire,1999,13.3,,,,
East Dunbartonshire,1999,10,,,,
East Lothian,1999,10.7,,,,
East Renfrewshire,1999,9.5,,,,
Falkirk,1999,11.9,,,,
Fife,1999,10.9,,,,
Glasgow City,1999,14.7,,,,
Highland,1999,11.2,,,,
Inverclyde,1999,13.2,,,,
Midlothian,1999,11.2,,,,
Moray,1999,11,,,,
Na h-Eileanan Siar,1999,11.6,,,,
North Ayrshire,1999,12.1,,,,
North Lanarkshire,1999,13.2,,,,
Orkney Islands,1999,10,,,,
Perth and Kinross,1999,10.7,,,,
Renfrewshire,1999,13.1,,,,
Scotland,1999,11.9,,,,
Scottish Borders,1999,10.3,,,,
Shetland Islands,1999,10.8,,,,
South Ayrshire,1999,10.8,,,,
South Lanarkshire,1999,12.7,,,,
Stirling,1999,11.2,,,,
West Dunbartonshire,1999,13.5,,,,
West Lothian,1999,13.2,,,,
Aberdeen City,2000,11.1,,,,
Aberdeenshire,2000,9.8,,,,
Angus,2000,10.9,,,,
Argyll and Bute,2000,10.8,,,,
City of Edinburgh,2000,10.7,,,,
Clackmannanshire,2000,11.9,,,,
Dumfries and Galloway,2000,10.2,,,,
Dundee City,2000,11.5,,,,
East Ayrshire,2000,12,,,,
East Dunbartonshire,2000,9.9,,,,
East Lothian,2000,10.8,,,,
East Renfrewshire,2000,10,,,,
Falkirk,2000,11.7,,,,
Fife,2000,10.6,,,,
Glasgow City,2000,13.8,,,,
Highland,2000,11,,,,
Inverclyde,2000,13.3,,,,
Midlothian,2000,11.3,,,,
Moray,2000,10.8,,,,
Na h-Eileanan Siar,2000,12,,,,
North Ayrshire,2000,12,,,,
North Lanarkshire,2000,12.6,,,,
Orkney Islands,2000,9.2,,,,
Perth and Kinross,2000,9.7,,,,
Renfrewshire,2000,12.5,,,,
Scotland,2000,11.4,,,,
Scottish Borders,2000,10.1,,,,
Shetland Islands,2000,8.5,,,,
South Ayrshire,2000,11,,,,
South Lanarkshire,2000,11.8,,,,
Stirling,2000,10.4,,,,
West Dunbartonshire,2000,12.7,,,,
West Lothian,2000,12.1,,,,
Aberdeen City,2001,10.7,,,,
Aberdeenshire,2001,9.6,,,,
Angus,2001,10.7,,,,
Argyll and Bute,2001,10.5,,,,
City of Edinburgh,2001,10.6,,,,
Clackmannanshire,2001,11.7,,,,
Dumfries and Galloway,2001,10.2,,,,
Dundee City,2001,11.9,,,,
East Ayrshire,2001,12.5,,,,
East Dunbartonshire,2001,9.1,,,,
East Lothian,2001,10,,,,
East Renfrewshire,2001,9.2,,,,
Falkirk,2001,11.2,,,,
Fife,2001,10.9,,,,
Glasgow City,2001,13.8,,,,
Highland,2001,11,,,,
Inverclyde,2001,12.8,,,,
Midlothian,2001,11.1,,,,
Moray,2001,10.6,,,,
Na h-Eileanan Siar,2001,10.5,,,,
North Ayrshire,2001,11.9,,,,
North Lanarkshire,2001,12.7,,,,
Orkney Islands,2001,10.8,,,,
Perth and Kinross,2001,9.7,,,,
Renfrewshire,2001,12.2,,,,
Scotland,2001,11.3,,,,
Scottish Borders,2001,10,,,,
Shetland Islands,2001,10.7,,,,
South Ayrshire,2001,10.9,,,,
South Lanarkshire,2001,11.7,,,,
Stirling,2001,10.9,,,,
West Dunbartonshire,2001,12.9,,,,
West Lothian,2001,12.3,,,,
Aberdeen City,2002,10.8,,,,
Aberdeenshire,2002,9.6,,,,
Angus,2002,10.8,,,,
Argyll and Bute,2002,11,,,,
City of Edinburgh,2002,10.2,,,,
Clackmannanshire,2002,11.5,,,,
Dumfries and Galloway,2002,10.1,,,,
Dundee City,2002,11.7,,,,
East Ayrshire,2002,11.9,,,,
East Dunbartonshire,2002,9.9,,,,
East Lothian,2002,10.5,,,,
East Renfrewshire,2002,9.3,,,,
Falkirk,2002,12.2,,,,
Fife,2002,11.1,,,,
Glasgow City,2002,14,,,,
Highland,2002,10.8,,,,
Inverclyde,2002,13.2,,,,
Midlothian,2002,12.1,,,,
Moray,2002,10.9,,,,
Na h-Eileanan Siar,2002,12,,,,
North Ayrshire,2002,11.7,,,,
North Lanarkshire,2002,12.8,,,,
Orkney Islands,2002,9.8,,,,
Perth and Kinross,2002,10,,,,
Renfrewshire,2002,12.5,,,,
Scotland,2002,11.5,,,,
Scottish Borders,2002,10.7,,,,
Shetland Islands,2002,10.2,,,,
South Ayrshire,2002,11.2,,,,
South Lanarkshire,2002,11.9,,,,
Stirling,2002,10.5,,,,
West Dunbartonshire,2002,12.7,,,,
West Lothian,2002,12.8,,,,
Aberdeen City,2003,10.7,,,,
