Council area,Year,Sex,Age group,Type,Life expectancy
Aberdeenshire,2001-03,Female,55 to 59,Estimate,27.81374934
Aberdeenshire,2001-03,Female,55 to 59,Lower_CI,27.47490278
Aberdeenshire,2001-03,Female,55 to 59,Upper_CI,28.1525959
Aberdeenshire,2001-03,Female,60 to 64,Estimate,23.36222169
Aberdeenshire,2001-03,Female,60 to 64,Lower_CI,23.03467631
Aberdeenshire,2001-03,Female,60 to 64,Upper_CI,23.68976707
Aberdeenshire,2001-03,Female,65 to 69,Estimate,19.24767321
Aberdeenshire,2001-03,Female,65 to 69,Lower_CI,18.93980552
Aberdeenshire,2001-03,Female,65 to 69,Upper_CI,19.5555409
Aberdeenshire,2001-03,Female,70 to 74,Estimate,15.26762895
Aberdeenshire,2001-03,Female,70 to 74,Lower_CI,14.97931638
Aberdeenshire,2001-03,Female,70 to 74,Upper_CI,15.55594153
Aberdeenshire,2001-03,Female,75 to 79,Estimate,11.78457497
Aberdeenshire,2001-03,Female,75 to 79,Lower_CI,11.51796261
Aberdeenshire,2001-03,Female,75 to 79,Upper_CI,12.05118732
Aberdeenshire,2001-03,Female,80 to 84,Estimate,8.689631867
Aberdeenshire,2001-03,Female,80 to 84,Lower_CI,8.437225922
Aberdeenshire,2001-03,Female,80 to 84,Upper_CI,8.942037812
Aberdeenshire,2001-03,Female,85 to 89,Estimate,6.254960434
Aberdeenshire,2001-03,Female,85 to 89,Lower_CI,5.998847019
Aberdeenshire,2001-03,Female,85 to 89,Upper_CI,6.511073849
Aberdeenshire,2001-03,Female,90 and over,Estimate,4.374301676
Aberdeenshire,2001-03,Female,90 and over,Lower_CI,4.053890031
Aberdeenshire,2001-03,Female,90 and over,Upper_CI,4.694713321
Angus,2001-03,Male,0,Estimate,75.31282628
Angus,2001-03,Male,0,Lower_CI,74.62291501
Angus,2001-03,Male,0,Upper_CI,76.00273756
Angus,2001-03,Male,1 to 4,Estimate,74.78408459
Angus,2001-03,Male,1 to 4,Lower_CI,74.15471159
Angus,2001-03,Male,1 to 4,Upper_CI,75.4134576
Angus,2001-03,Male,5 to 9,Estimate,70.82521716
Angus,2001-03,Male,5 to 9,Lower_CI,70.20067334
Angus,2001-03,Male,5 to 9,Upper_CI,71.44976099
Angus,2001-03,Male,10 to 14,Estimate,65.85970569
Angus,2001-03,Male,10 to 14,Lower_CI,65.2385156
Angus,2001-03,Male,10 to 14,Upper_CI,66.48089578
Angus,2001-03,Male,15 to 19,Estimate,60.94970101
Angus,2001-03,Male,15 to 19,Lower_CI,60.33603324
Angus,2001-03,Male,15 to 19,Upper_CI,61.56336878
Angus,2001-03,Male,20 to 24,Estimate,56.15152013
