Council area,Registration Year,Sex,Number of civil partnerships
South Ayrshire,2010,All,13
South Lanarkshire,2010,All,5
Stirling,2010,All,9
West Dunbartonshire,2010,All,3
West Lothian,2010,All,8
Aberdeen City,2010,Female,8
Aberdeenshire,2010,Female,6
Angus,2010,Female,4
Argyll and Bute,2010,Female,8
City of Edinburgh,2010,Female,48
Clackmannanshire,2010,Female,5
Dumfries and Galloway,2010,Female,45
Dundee City,2010,Female,8
East Ayrshire,2010,Female,1
East Dunbartonshire,2010,Female,1
East Lothian,2010,Female,4
East Renfrewshire,2010,Female,2
Falkirk,2010,Female,5
Fife,2010,Female,13
Glasgow City,2010,Female,36
Highland,2010,Female,12
Inverclyde,2010,Female,0
Midlothian,2010,Female,4
Moray,2010,Female,5
Na h-Eileanan Siar,2010,Female,0
North Ayrshire,2010,Female,3
North Lanarkshire,2010,Female,7
Orkney Islands,2010,Female,0
Perth and Kinross,2010,Female,7
Renfrewshire,2010,Female,4
Scotland,2010,Female,268
Scottish Borders,2010,Female,5
Shetland Islands,2010,Female,0
South Ayrshire,2010,Female,7
South Lanarkshire,2010,Female,2
Stirling,2010,Female,9
West Dunbartonshire,2010,Female,2
West Lothian,2010,Female,7
Aberdeen City,2010,Male,10
Aberdeenshire,2010,Male,3
Angus,2010,Male,2
Argyll and Bute,2010,Male,6
City of Edinburgh,2010,Male,59
Clackmannanshire,2010,Male,1
Dumfries and Galloway,2010,Male,16
Dundee City,2010,Male,8
East Ayrshire,2010,Male,1
East Dunbartonshire,2010,Male,3
East Lothian,2010,Male,1
East Renfrewshire,2010,Male,0
Falkirk,2010,Male,2
Fife,2010,Male,7
Glasgow City,2010,Male,33
Highland,2010,Male,8
Inverclyde,2010,Male,1
Midlothian,2010,Male,4
Moray,2010,Male,1
Na h-Eileanan Siar,2010,Male,0
North Ayrshire,2010,Male,4
North Lanarkshire,2010,Male,4
Orkney Islands,2010,Male,0
Perth and Kinross,2010,Male,8
Renfrewshire,2010,Male,1
Scotland,2010,Male,197
Scottish Borders,2010,Male,2
Shetland Islands,2010,Male,1
South Ayrshire,2010,Male,6
South Lanarkshire,2010,Male,3
