Council area,Year,Sex,Type,Number
Angus,2011-12,Male,In,1910
Angus,2011-12,Male,Net,130
Angus,2011-12,Male,Out,1780
Angus,2011-12,Persons,In,3930
Angus,2011-12,Persons,Net,260
Angus,2011-12,Persons,Out,3670
Angus,2012-13,Female,In,2030
Angus,2012-13,Female,Net,30
Angus,2012-13,Female,Out,2000
Angus,2012-13,Male,In,1920
Angus,2012-13,Male,Net,80
Angus,2012-13,Male,Out,1830
Angus,2012-13,Persons,In,3950
Angus,2012-13,Persons,Net,110
Angus,2012-13,Persons,Out,3830
Angus,2013-14,Female,In,2180
Angus,2013-14,Female,Net,360
Angus,2013-14,Female,Out,1820
Angus,2013-14,Male,In,2050
Angus,2013-14,Male,Net,280
Angus,2013-14,Male,Out,1770
Angus,2013-14,Persons,In,4230
Angus,2013-14,Persons,Net,650
Angus,2013-14,Persons,Out,3590
Angus,2014-15,Female,In,2200
Angus,2014-15,Female,Net,280
Angus,2014-15,Female,Out,1920
Angus,2014-15,Male,In,2100
Angus,2014-15,Male,Net,260
Angus,2014-15,Male,Out,1850
Angus,2014-15,Persons,In,4310
Angus,2014-15,Persons,Net,540
Angus,2014-15,Persons,Out,3770
Angus,2015-16,Female,In,1980
Angus,2015-16,Female,Net,30
Angus,2015-16,Female,Out,1950
Angus,2015-16,Male,In,1930
Angus,2015-16,Male,Net,40
Angus,2015-16,Male,Out,1890
Angus,2015-16,Persons,In,3910
Angus,2015-16,Persons,Net,70
Angus,2015-16,Persons,Out,3840
Angus,2016-17,Female,In,1880
Angus,2016-17,Female,Net,30
Angus,2016-17,Female,Out,1850
Angus,2016-17,Male,In,1910
Angus,2016-17,Male,Net,120
Angus,2016-17,Male,Out,1790
Angus,2016-17,Persons,In,3790
Angus,2016-17,Persons,Net,140
Angus,2016-17,Persons,Out,3640
Angus,2017-18,Female,In,1950
Angus,2017-18,Female,Net,190
Angus,2017-18,Female,Out,1770
Angus,2017-18,Male,In,1940
Angus,2017-18,Male,Net,10
Angus,2017-18,Male,Out,1930
Angus,2017-18,Persons,In,3890
Angus,2017-18,Persons,Net,200
Angus,2017-18,Persons,Out,3690
Angus,2018-19,Female,In,1930
Angus,2018-19,Female,Net,210
Angus,2018-19,Female,Out,1720
Angus,2018-19,Male,In,2090
Angus,2018-19,Male,Net,290
Angus,2018-19,Male,Out,1800
Angus,2018-19,Persons,In,4020
Angus,2018-19,Persons,Net,490
Angus,2018-19,Persons,Out,3520
Argyll and Bute,2001-02,Female,In,2400
Argyll and Bute,2001-02,Female,Net,90
Argyll and Bute,2001-02,Female,Out,2310
Argyll and Bute,2001-02,Male,In,2190
Argyll and Bute,2001-02,Male,Net,0
Argyll and Bute,2001-02,Male,Out,2190
Argyll and Bute,2001-02,Persons,In,4590
Argyll and Bute,2001-02,Persons,Net,90
Argyll and Bute,2001-02,Persons,Out,4500
Argyll and Bute,2002-03,Female,In,2450
Argyll and Bute,2002-03,Female,Net,260
Argyll and Bute,2002-03,Female,Out,2190
Argyll and Bute,2002-03,Male,In,2140
Argyll and Bute,2002-03,Male,Net,180
Argyll and Bute,2002-03,Male,Out,1960
Argyll and Bute,2002-03,Persons,In,4580
Argyll and Bute,2002-03,Persons,Net,440
Argyll and Bute,2002-03,Persons,Out,4150
Argyll and Bute,2003-04,Female,In,2620
Argyll and Bute,2003-04,Female,Net,540
Argyll and Bute,2003-04,Female,Out,2080
Argyll and Bute,2003-04,Male,In,2280
Argyll and Bute,2003-04,Male,Net,390
Argyll and Bute,2003-04,Male,Out,1890
Argyll and Bute,2003-04,Persons,In,4900
