Council area,Registration Year,Sex,Number,,,,
Dundee City,2005,All people,1745,,,,
East Ayrshire,2005,All people,1465,,,,
East Dunbartonshire,2005,All people,942,,,,
East Lothian,2005,All people,1013,,,,
East Renfrewshire,2005,All people,814,,,,
Falkirk,2005,All people,1557,,,,
Fife,2005,All people,3788,,,,
Glasgow City,2005,All people,7072,,,,
Highland,2005,All people,2246,,,,
Inverclyde,2005,All people,1049,,,,
Midlothian,2005,All people,826,,,,
Moray,2005,All people,943,,,,
Na h-Eileanan Siar,2005,All people,391,,,,
North Ayrshire,2005,All people,1601,,,,
North Lanarkshire,2005,All people,3400,,,,
Orkney Islands,2005,All people,208,,,,
Perth and Kinross,2005,All people,1555,,,,
Renfrewshire,2005,All people,1991,,,,
Scotland,2005,All people,55747,,,,
Scottish Borders,2005,All people,1308,,,,
Shetland Islands,2005,All people,165,,,,
South Ayrshire,2005,All people,1400,,,,
South Lanarkshire,2005,All people,3290,,,,
Stirling,2005,All people,870,,,,
West Dunbartonshire,2005,All people,1153,,,,
West Lothian,2005,All people,1490,,,,
Aberdeen City,2005,Female,1098,,,,
Aberdeenshire,2005,Female,1076,,,,
Angus,2005,Female,702,,,,
Argyll and Bute,2005,Female,570,,,,
City of Edinburgh,2005,Female,2357,,,,
Clackmannanshire,2005,Female,284,,,,
Dumfries and Galloway,2005,Female,967,,,,
Dundee City,2005,Female,923,,,,
East Ayrshire,2005,Female,796,,,,
East Dunbartonshire,2005,Female,486,,,,
East Lothian,2005,Female,525,,,,
East Renfrewshire,2005,Female,427,,,,
Falkirk,2005,Female,792,,,,
Fife,2005,Female,2057,,,,
Glasgow City,2005,Female,3718,,,,
Highland,2005,Female,1140,,,,
Inverclyde,2005,Female,562,,,,
Midlothian,2005,Female,452,,,,
Moray,2005,Female,477,,,,
Na h-Eileanan Siar,2005,Female,197,,,,
North Ayrshire,2005,Female,833,,,,
North Lanarkshire,2005,Female,1731,,,,
Orkney Islands,2005,Female,93,,,,
Perth and Kinross,2005,Female,834,,,,
Renfrewshire,2005,Female,1008,,,,
Scotland,2005,Female,29225,,,,
Scottish Borders,2005,Female,703,,,,
Shetland Islands,2005,Female,79,,,,
South Ayrshire,2005,Female,749,,,,
South Lanarkshire,2005,Female,1736,,,,
Stirling,2005,Female,467,,,,
West Dunbartonshire,2005,Female,614,,,,
West Lothian,2005,Female,772,,,,
Aberdeen City,2005,Male,1023,,,,
Aberdeenshire,2005,Male,972,,,,
Angus,2005,Male,649,,,,
Argyll and Bute,2005,Male,510,,,,
City of Edinburgh,2005,Male,2118,,,,
Clackmannanshire,2005,Male,259,,,,
Dumfries and Galloway,2005,Male,880,,,,
Dundee City,2005,Male,822,,,,
East Ayrshire,2005,Male,669,,,,
East Dunbartonshire,2005,Male,456,,,,
East Lothian,2005,Male,488,,,,
East Renfrewshire,2005,Male,387,,,,
Falkirk,2005,Male,765,,,,
Fife,2005,Male,1731,,,,
Glasgow City,2005,Male,3354,,,,
Highland,2005,Male,1106,,,,
Inverclyde,2005,Male,487,,,,
Midlothian,2005,Male,374,,,,
Moray,2005,Male,466,,,,
Na h-Eileanan Siar,2005,Male,194,,,,
North Ayrshire,2005,Male,768,,,,
North Lanarkshire,2005,Male,1669,,,,
Orkney Islands,2005,Male,115,,,,
Perth and Kinross,2005,Male,721,,,,
Renfrewshire,2005,Male,983,,,,
Scotland,2005,Male,26522,,,,
Scottish Borders,2005,Male,605,,,,
Shetland Islands,2005,Male,86,,,,
South Ayrshire,2005,Male,651,,,,
South Lanarkshire,2005,Male,1554,,,,
Stirling,2005,Male,403,,,,
West Dunbartonshire,2005,Male,539,,,,
West Lothian,2005,Male,718,,,,
Aberdeen City,2006,All people,2089,,,,
Aberdeenshire,2006,All people,2192,,,,
Angus,2006,All people,1190,,,,
Argyll and Bute,2006,All people,1063,,,,
City of Edinburgh,2006,All people,4217,,,,
Clackmannanshire,2006,All people,512,,,,
Dumfries and Galloway,2006,All people,1838,,,,
Dundee City,2006,All people,1572,,,,
East Ayrshire,2006,All people,1356,,,,
East Dunbartonshire,2006,All people,985,,,,
East Lothian,2006,All people,1017,,,,
East Renfrewshire,2006,All people,840,,,,
Falkirk,2006,All people,1657,,,,
Fife,2006,All people,3759,,,,
Glasgow City,2006,All people,6999,,,,
Highland,2006,All people,2363,,,,
Inverclyde,2006,All people,989,,,,
Midlothian,2006,All people,848,,,,
Moray,2006,All people,965,,,,
Na h-Eileanan Siar,2006,All people,340,,,,
North Ayrshire,2006,All people,1579,,,,
North Lanarkshire,2006,All people,3421,,,,
Orkney Islands,2006,All people,231,,,,
Perth and Kinross,2006,All people,1625,,,,
Renfrewshire,2006,All people,1972,,,,
Scotland,2006,All people,55093,,,,
Scottish Borders,2006,All people,1292,,,,
Shetland Islands,2006,All people,203,,,,
South Ayrshire,2006,All people,1375,,,,
South Lanarkshire,2006,All people,3282,,,,
Stirling,2006,All people,863,,,,
West Dunbartonshire,2006,All people,1091,,,,
West Lothian,2006,All people,1368,,,,
Aberdeen City,2006,Female,1067,,,,
Aberdeenshire,2006,Female,1155,,,,
Angus,2006,Female,653,,,,
Argyll and Bute,2006,Female,582,,,,
City of Edinburgh,2006,Female,2231,,,,
Clackmannanshire,2006,Female,259,,,,
Dumfries and Galloway,2006,Female,949,,,,
Dundee City,2006,Female,821,,,,
East Ayrshire,2006,Female,717,,,,
East Dunbartonshire,2006,Female,530,,,,
East Lothian,2006,Female,529,,,,
East Renfrewshire,2006,Female,447,,,,
Falkirk,2006,Female,865,,,,
Fife,2006,Female,1956,,,,
Glasgow City,2006,Female,3619,,,,
Highland,2006,Female,1213,,,,
Inverclyde,2006,Female,523,,,,
Midlothian,2006,Female,450,,,,
Moray,2006,Female,504,,,,
Na h-Eileanan Siar,2006,Female,187,,,,
North Ayrshire,2006,Female,832,,,,
North Lanarkshire,2006,Female,1727,,,,
Orkney Islands,2006,Female,122,,,,
Perth and Kinross,2006,Female,825,,,,
Renfrewshire,2006,Female,1020,,,,
Scotland,2006,Female,28842,,,,
Scottish Borders,2006,Female,677,,,,
Shetland Islands,2006,Female,108,,,,
South Ayrshire,2006,Female,738,,,,
South Lanarkshire,2006,Female,1743,,,,
Stirling,2006,Female,455,,,,
West Dunbartonshire,2006,Female,597,,,,
West Lothian,2006,Female,741,,,,
Aberdeen City,2006,Male,1022,,,,
Aberdeenshire,2006,Male,1037,,,,
Angus,2006,Male,537,,,,
Argyll and Bute,2006,Male,481,,,,
City of Edinburgh,2006,Male,1986,,,,
Clackmannanshire,2006,Male,253,,,,
Dumfries and Galloway,2006,Male,889,,,,
Dundee City,2006,Male,751,,,,
East Ayrshire,2006,Male,639,,,,
East Dunbartonshire,2006,Male,455,,,,
East Lothian,2006,Male,488,,,,
East Renfrewshire,2006,Male,393,,,,
Falkirk,2006,Male,792,,,,
Fife,2006,Male,1803,,,,
Glasgow City,2006,Male,3380,,,,
Highland,2006,Male,1150,,,,
Inverclyde,2006,Male,466,,,,
Midlothian,2006,Male,398,,,,
Moray,2006,Male,461,,,,
Na h-Eileanan Siar,2006,Male,153,,,,
North Ayrshire,2006,Male,747,,,,
North Lanarkshire,2006,Male,1694,,,,
Orkney Islands,2006,Male,109,,,,
Perth and Kinross,2006,Male,800,,,,
Renfrewshire,2006,Male,952,,,,
Scotland,2006,Male,26251,,,,
Scottish Borders,2006,Male,615,,,,
Shetland Islands,2006,Male,95,,,,
South Ayrshire,2006,Male,637,,,,
South Lanarkshire,2006,Male,1539,,,,
Stirling,2006,Male,408,,,,
West Dunbartonshire,2006,Male,494,,,,
West Lothian,2006,Male,627,,,,
Aberdeen City,2007,All people,2180,,,,
Aberdeenshire,2007,All people,2195,,,,
Angus,2007,All people,1296,,,,
Argyll and Bute,2007,All people,1135,,,,
City of Edinburgh,2007,All people,4293,,,,
Clackmannanshire,2007,All people,471,,,,
Dumfries and Galloway,2007,All people,1866,,,,
Dundee City,2007,All people,1643,,,,
East Ayrshire,2007,All people,1407,,,,
East Dunbartonshire,2007,All people,1004,,,,
East Lothian,2007,All people,1028,,,,
East Renfrewshire,2007,All people,854,,,,
Falkirk,2007,All people,1620,,,,
Fife,2007,All people,3780,,,,
Glasgow City,2007,All people,7002,,,,
Highland,2007,All people,2419,,,,
Inverclyde,2007,All people,1023,,,,
Midlothian,2007,All people,796,,,,
Moray,2007,All people,947,,,,
Na h-Eileanan Siar,2007,All people,367,,,,
North Ayrshire,2007,All people,1664,,,,
North Lanarkshire,2007,All people,3558,,,,
Orkney Islands,2007,All people,255,,,,
Perth and Kinross,2007,All people,1577,,,,
Renfrewshire,2007,All people,1887,,,,
Scotland,2007,All people,55986,,,,
Scottish Borders,2007,All people,1299,,,,
Shetland Islands,2007,All people,209,,,,
South Ayrshire,2007,All people,1388,,,,
South Lanarkshire,2007,All people,3440,,,,
Stirling,2007,All people,890,,,,
West Dunbartonshire,2007,All people,1122,,,,
West Lothian,2007,All people,1371,,,,
Aberdeen City,2007,Female,1133,,,,
Aberdeenshire,2007,Female,1162,,,,
Angus,2007,Female,693,,,,
Argyll and Bute,2007,Female,587,,,,
City of Edinburgh,2007,Female,2301,,,,
Clackmannanshire,2007,Female,218,,,,
Dumfries and Galloway,2007,Female,1022,,,,
Dundee City,2007,Female,832,,,,
East Ayrshire,2007,Female,736,,,,
East Dunbartonshire,2007,Female,488,,,,
East Lothian,2007,Female,525,,,,
East Renfrewshire,2007,Female,454,,,,
Falkirk,2007,Female,879,,,,
Fife,2007,Female,1982,,,,
Glasgow City,2007,Female,3556,,,,
Highland,2007,Female,1277,,,,
Inverclyde,2007,Female,533,,,,
Midlothian,2007,Female,442,,,,
Moray,2007,Female,482,,,,
Na h-Eileanan Siar,2007,Female,181,,,,
North Ayrshire,2007,Female,853,,,,
North Lanarkshire,2007,Female,1779,,,,
Orkney Islands,2007,Female,122,,,,
Perth and Kinross,2007,Female,837,,,,
Renfrewshire,2007,Female,968,,,,
Scotland,2007,Female,29091,,,,
Scottish Borders,2007,Female,669,,,,
Shetland Islands,2007,Female,106,,,,
South Ayrshire,2007,Female,738,,,,
South Lanarkshire,2007,Female,1749,,,,
Stirling,2007,Female,473,,,,
West Dunbartonshire,2007,Female,580,,,,
West Lothian,2007,Female,734,,,,
Aberdeen City,2007,Male,1047,,,,
Aberdeenshire,2007,Male,1033,,,,
Angus,2007,Male,603,,,,
Argyll and Bute,2007,Male,548,,,,
City of Edinburgh,2007,Male,1992,,,,
Clackmannanshire,2007,Male,253,,,,
Dumfries and Galloway,2007,Male,844,,,,
Dundee City,2007,Male,811,,,,
East Ayrshire,2007,Male,671,,,,
East Dunbartonshire,2007,Male,516,,,,
East Lothian,2007,Male,503,,,,
East Renfrewshire,2007,Male,400,,,,
Falkirk,2007,Male,741,,,,
Fife,2007,Male,1798,,,,
Glasgow City,2007,Male,3446,,,,
Highland,2007,Male,1142,,,,
Inverclyde,2007,Male,490,,,,
Midlothian,2007,Male,354,,,,
Moray,2007,Male,465,,,,
Na h-Eileanan Siar,2007,Male,186,,,,
North Ayrshire,2007,Male,811,,,,
North Lanarkshire,2007,Male,1779,,,,
Orkney Islands,2007,Male,133,,,,
Perth and Kinross,2007,Male,740,,,,
Renfrewshire,2007,Male,919,,,,
Scotland,2007,Male,26895,,,,
Scottish Borders,2007,Male,630,,,,
Shetland Islands,2007,Male,103,,,,
South Ayrshire,2007,Male,650,,,,
South Lanarkshire,2007,Male,1691,,,,
Stirling,2007,Male,417,,,,
West Dunbartonshire,2007,Male,542,,,,
West Lothian,2007,Male,637,,,,
Aberdeen City,2008,All people,2135,,,,
Aberdeenshire,2008,All people,2257,,,,
Angus,2008,All people,1280,,,,
Argyll and Bute,2008,All people,1144,,,,
City of Edinburgh,2008,All people,4291,,,,
Clackmannanshire,2008,All people,515,,,,
Dumfries and Galloway,2008,All people,1773,,,,
Dundee City,2008,All people,1744,,,,
East Ayrshire,2008,All people,1389,,,,
East Dunbartonshire,2008,All people,980,,,,
East Lothian,2008,All people,1014,,,,
East Renfrewshire,2008,All people,885,,,,
Falkirk,2008,All people,1623,,,,
Fife,2008,All people,3916,,,,
Glasgow City,2008,All people,6907,,,,
Highland,2008,All people,2314,,,,
Inverclyde,2008,All people,995,,,,
Midlothian,2008,All people,793,,,,
Moray,2008,All people,925,,,,
Na h-Eileanan Siar,2008,All people,346,,,,
North Ayrshire,2008,All people,1628,,,,
North Lanarkshire,2008,All people,3434,,,,
Orkney Islands,2008,All people,225,,,,
Perth and Kinross,2008,All people,1547,,,,
Renfrewshire,2008,All people,1982,,,,
Scotland,2008,All people,55700,,,,
Scottish Borders,2008,All people,1265,,,,
Shetland Islands,2008,All people,211,,,,
South Ayrshire,2008,All people,1384,,,,
South Lanarkshire,2008,All people,3382,,,,
Stirling,2008,All people,817,,,,
West Dunbartonshire,2008,All people,1150,,,,
West Lothian,2008,All people,1449,,,,
Aberdeen City,2008,Female,1125,,,,
Aberdeenshire,2008,Female,1182,,,,
Angus,2008,Female,703,,,,
Argyll and Bute,2008,Female,593,,,,
City of Edinburgh,2008,Female,2253,,,,
Clackmannanshire,2008,Female,259,,,,
Dumfries and Galloway,2008,Female,886,,,,
Dundee City,2008,Female,919,,,,
East Ayrshire,2008,Female,728,,,,
East Dunbartonshire,2008,Female,533,,,,
East Lothian,2008,Female,541,,,,
East Renfrewshire,2008,Female,488,,,,
Falkirk,2008,Female,831,,,,
Fife,2008,Female,2122,,,,
Glasgow City,2008,Female,3577,,,,
Highland,2008,Female,1179,,,,
Inverclyde,2008,Female,519,,,,
Midlothian,2008,Female,399,,,,
Moray,2008,Female,486,,,,
Na h-Eileanan Siar,2008,Female,163,,,,
North Ayrshire,2008,Female,873,,,,
North Lanarkshire,2008,Female,1811,,,,
Orkney Islands,2008,Female,107,,,,
Perth and Kinross,2008,Female,829,,,,
Renfrewshire,2008,Female,1030,,,,
Scotland,2008,Female,29196,,,,
Scottish Borders,2008,Female,693,,,,
Shetland Islands,2008,Female,99,,,,
South Ayrshire,2008,Female,723,,,,
South Lanarkshire,2008,Female,1747,,,,
Stirling,2008,Female,447,,,,
West Dunbartonshire,2008,Female,601,,,,
West Lothian,2008,Female,750,,,,
Aberdeen City,2008,Male,1010,,,,
Aberdeenshire,2008,Male,1075,,,,
Angus,2008,Male,577,,,,
Argyll and Bute,2008,Male,551,,,,
City of Edinburgh,2008,Male,2038,,,,
Clackmannanshire,2008,Male,256,,,,
Dumfries and Galloway,2008,Male,887,,,,
Dundee City,2008,Male,825,,,,
East Ayrshire,2008,Male,661,,,,
East Dunbartonshire,2008,Male,447,,,,
East Lothian,2008,Male,473,,,,
East Renfrewshire,2008,Male,397,,,,
Falkirk,2008,Male,792,,,,
Fife,2008,Male,1794,,,,
Glasgow City,2008,Male,3330,,,,
Highland,2008,Male,1135,,,,
Inverclyde,2008,Male,476,,,,
Midlothian,2008,Male,394,,,,
Moray,2008,Male,439,,,,
Na h-Eileanan Siar,2008,Male,183,,,,
North Ayrshire,2008,Male,755,,,,
North Lanarkshire,2008,Male,1623,,,,
Orkney Islands,2008,Male,118,,,,
Perth and Kinross,2008,Male,718,,,,
Renfrewshire,2008,Male,952,,,,
Scotland,2008,Male,26504,,,,
Scottish Borders,2008,Male,572,,,,
Shetland Islands,2008,Male,112,,,,
South Ayrshire,2008,Male,661,,,,
South Lanarkshire,2008,Male,1635,,,,
Stirling,2008,Male,370,,,,
West Dunbartonshire,2008,Male,549,,,,
West Lothian,2008,Male,699,,,,
Aberdeen City,2009,All people,2056,,,,
Aberdeenshire,2009,All people,2185,,,,
Angus,2009,All people,1190,,,,
Argyll and Bute,2009,All people,1050,,,,
City of Edinburgh,2009,All people,4202,,,,
Clackmannanshire,2009,All people,498,,,,
Dumfries and Galloway,2009,All people,1790,,,,
Dundee City,2009,All people,1693,,,,
East Ayrshire,2009,All people,1328,,,,
East Dunbartonshire,2009,All people,907,,,,
East Lothian,2009,All people,1023,,,,
East Renfrewshire,2009,All people,835,,,,
Falkirk,2009,All people,1480,,,,
Fife,2009,All people,3874,,,,
Glasgow City,2009,All people,6571,,,,
Highland,2009,All people,2254,,,,
Inverclyde,2009,All people,971,,,,
Midlothian,2009,All people,802,,,,
Moray,2009,All people,897,,,,
Na h-Eileanan Siar,2009,All people,352,,,,
North Ayrshire,2009,All people,1608,,,,
North Lanarkshire,2009,All people,3306,,,,
Orkney Islands,2009,All people,209,,,,
Perth and Kinross,2009,All people,1531,,,,
Renfrewshire,2009,All people,1929,,,,
Scotland,2009,All people,53856,,,,
Scottish Borders,2009,All people,1259,,,,
Shetland Islands,2009,All people,196,,,,
South Ayrshire,2009,All people,1379,,,,
South Lanarkshire,2009,All people,3212,,,,
Stirling,2009,All people,816,,,,
West Dunbartonshire,2009,All people,1051,,,,
West Lothian,2009,All people,1402,,,,
Aberdeen City,2009,Female,1060,,,,
Aberdeenshire,2009,Female,1141,,,,
Angus,2009,Female,658,,,,
Argyll and Bute,2009,Female,564,,,,
City of Edinburgh,2009,Female,2270,,,,
Clackmannanshire,2009,Female,240,,,,
Dumfries and Galloway,2009,Female,916,,,,
Dundee City,2009,Female,870,,,,
East Ayrshire,2009,Female,666,,,,
East Dunbartonshire,2009,Female,476,,,,
East Lothian,2009,Female,545,,,,
East Renfrewshire,2009,Female,450,,,,
Falkirk,2009,Female,801,,,,
Fife,2009,Female,2014,,,,
Glasgow City,2009,Female,3354,,,,
Highland,2009,Female,1133,,,,
Inverclyde,2009,Female,502,,,,
Midlothian,2009,Female,392,,,,
Moray,2009,Female,441,,,,
Na h-Eileanan Siar,2009,Female,167,,,,
North Ayrshire,2009,Female,837,,,,
North Lanarkshire,2009,Female,1719,,,,
Orkney Islands,2009,Female,118,,,,
Perth and Kinross,2009,Female,812,,,,
Renfrewshire,2009,Female,983,,,,
Scotland,2009,Female,28028,,,,
Scottish Borders,2009,Female,636,,,,
Shetland Islands,2009,Female,103,,,,
South Ayrshire,2009,Female,743,,,,
South Lanarkshire,2009,Female,1717,,,,
Stirling,2009,Female,430,,,,
West Dunbartonshire,2009,Female,572,,,,
West Lothian,2009,Female,698,,,,
Aberdeen City,2009,Male,996,,,,
Aberdeenshire,2009,Male,1044,,,,
Angus,2009,Male,532,,,,
Argyll and Bute,2009,Male,486,,,,
City of Edinburgh,2009,Male,1932,,,,
Clackmannanshire,2009,Male,258,,,,
Dumfries and Galloway,2009,Male,874,,,,
Dundee City,2009,Male,823,,,,
East Ayrshire,2009,Male,662,,,,
East Dunbartonshire,2009,Male,431,,,,
East Lothian,2009,Male,478,,,,
East Renfrewshire,2009,Male,385,,,,
Falkirk,2009,Male,679,,,,
Fife,2009,Male,1860,,,,
Glasgow City,2009,Male,3217,,,,
Highland,2009,Male,1121,,,,
Inverclyde,2009,Male,469,,,,
Midlothian,2009,Male,410,,,,
Moray,2009,Male,456,,,,
Na h-Eileanan Siar,2009,Male,185,,,,
North Ayrshire,2009,Male,771,,,,
North Lanarkshire,2009,Male,1587,,,,
Orkney Islands,2009,Male,91,,,,
Perth and Kinross,2009,Male,719,,,,
Renfrewshire,2009,Male,946,,,,
Scotland,2009,Male,25828,,,,
Scottish Borders,2009,Male,623,,,,
Shetland Islands,2009,Male,93,,,,
South Ayrshire,2009,Male,636,,,,
South Lanarkshire,2009,Male,1495,,,,
Stirling,2009,Male,386,,,,
West Dunbartonshire,2009,Male,479,,,,
West Lothian,2009,Male,704,,,,
Aberdeen City,2010,All people,2021,,,,
Aberdeenshire,2010,All people,2252,,,,
Angus,2010,All people,1289,,,,
Argyll and Bute,2010,All people,1096,,,,
City of Edinburgh,2010,All people,4190,,,,
Clackmannanshire,2010,All people,461,,,,
Dumfries and Galloway,2010,All people,1857,,,,
Dundee City,2010,All people,1695,,,,
East Ayrshire,2010,All people,1270,,,,
East Dunbartonshire,2010,All people,964,,,,
East Lothian,2010,All people,984,,,,
East Renfrewshire,2010,All people,847,,,,
Falkirk,2010,All people,1506,,,,
Fife,2010,All people,3673,,,,
Glasgow City,2010,All people,6325,,,,
Highland,2010,All people,2423,,,,
Inverclyde,2010,All people,1050,,,,
Midlothian,2010,All people,805,,,,
Moray,2010,All people,932,,,,
Na h-Eileanan Siar,2010,All people,359,,,,
North Ayrshire,2010,All people,1484,,,,
North Lanarkshire,2010,All people,3442,,,,
Orkney Islands,2010,All people,213,,,,
Perth and Kinross,2010,All people,1442,,,,
Renfrewshire,2010,All people,1910,,,,
Scotland,2010,All people,53967,,,,
Scottish Borders,2010,All people,1271,,,,
Shetland Islands,2010,All people,241,,,,
South Ayrshire,2010,All people,1439,,,,
South Lanarkshire,2010,All people,3207,,,,
Stirling,2010,All people,846,,,,
West Dunbartonshire,2010,All people,1046,,,,
West Lothian,2010,All people,1427,,,,
Aberdeen City,2010,Female,1093,,,,
Aberdeenshire,2010,Female,1156,,,,
Angus,2010,Female,708,,,,
Argyll and Bute,2010,Female,568,,,,
City of Edinburgh,2010,Female,2177,,,,
Clackmannanshire,2010,Female,244,,,,
Dumfries and Galloway,2010,Female,918,,,,
Dundee City,2010,Female,880,,,,
East Ayrshire,2010,Female,662,,,,
East Dunbartonshire,2010,Female,510,,,,
East Lothian,2010,Female,530,,,,
East Renfrewshire,2010,Female,470,,,,
Falkirk,2010,Female,782,,,,
Fife,2010,Female,1884,,,,
Glasgow City,2010,Female,3200,,,,
Highland,2010,Female,1204,,,,
Inverclyde,2010,Female,521,,,,
Midlothian,2010,Female,443,,,,
Moray,2010,Female,473,,,,
Na h-Eileanan Siar,2010,Female,173,,,,
North Ayrshire,2010,Female,801,,,,
North Lanarkshire,2010,Female,1748,,,,
Orkney Islands,2010,Female,121,,,,
Perth and Kinross,2010,Female,791,,,,
Renfrewshire,2010,Female,952,,,,
Scotland,2010,Female,28004,,,,
Scottish Borders,2010,Female,662,,,,
Shetland Islands,2010,Female,130,,,,
South Ayrshire,2010,Female,729,,,,
South Lanarkshire,2010,Female,1712,,,,
Stirling,2010,Female,449,,,,
West Dunbartonshire,2010,Female,582,,,,
West Lothian,2010,Female,731,,,,
Aberdeen City,2010,Male,928,,,,
Aberdeenshire,2010,Male,1096,,,,
Angus,2010,Male,581,,,,
Argyll and Bute,2010,Male,528,,,,
City of Edinburgh,2010,Male,2013,,,,
Clackmannanshire,2010,Male,217,,,,
Dumfries and Galloway,2010,Male,939,,,,
Dundee City,2010,Male,815,,,,
East Ayrshire,2010,Male,608,,,,
East Dunbartonshire,2010,Male,454,,,,
East Lothian,2010,Male,454,,,,
East Renfrewshire,2010,Male,377,,,,
Falkirk,2010,Male,724,,,,
Fife,2010,Male,1789,,,,
Glasgow City,2010,Male,3125,,,,
Highland,2010,Male,1219,,,,
Inverclyde,2010,Male,529,,,,
Midlothian,2010,Male,362,,,,
Moray,2010,Male,459,,,,
Na h-Eileanan Siar,2010,Male,186,,,,
North Ayrshire,2010,Male,683,,,,
North Lanarkshire,2010,Male,1694,,,,
Orkney Islands,2010,Male,92,,,,
Perth and Kinross,2010,Male,651,,,,
Renfrewshire,2010,Male,958,,,,
Scotland,2010,Male,25963,,,,
Scottish Borders,2010,Male,609,,,,
Shetland Islands,2010,Male,111,,,,
South Ayrshire,2010,Male,710,,,,
South Lanarkshire,2010,Male,1495,,,,
Stirling,2010,Male,397,,,,
West Dunbartonshire,2010,Male,464,,,,
West Lothian,2010,Male,696,,,,
Aberdeen City,2011,All people,1973,,,,
Aberdeenshire,2011,All people,2191,,,,
Angus,2011,All people,1222,,,,
Argyll and Bute,2011,All people,1047,,,,
City of Edinburgh,2011,All people,4232,,,,
Clackmannanshire,2011,All people,477,,,,
Dumfries and Galloway,2011,All people,1707,,,,
Dundee City,2011,All people,1660,,,,
East Ayrshire,2011,All people,1319,,,,
East Dunbartonshire,2011,All people,950,,,,
East Lothian,2011,All people,966,,,,
East Renfrewshire,2011,All people,825,,,,
Falkirk,2011,All people,1548,,,,
Fife,2011,All people,3759,,,,
Glasgow City,2011,All people,6403,,,,
Highland,2011,All people,2440,,,,
Inverclyde,2011,All people,1013,,,,
Midlothian,2011,All people,782,,,,
Moray,2011,All people,983,,,,
Na h-Eileanan Siar,2011,All people,365,,,,
North Ayrshire,2011,All people,1535,,,,
North Lanarkshire,2011,All people,3381,,,,
Orkney Islands,2011,All people,209,,,,
Perth and Kinross,2011,All people,1496,,,,
Renfrewshire,2011,All people,1838,,,,
Scotland,2011,All people,53661,,,,
Scottish Borders,2011,All people,1234,,,,
Shetland Islands,2011,All people,231,,,,
South Ayrshire,2011,All people,1412,,,,
South Lanarkshire,2011,All people,3214,,,,
Stirling,2011,All people,782,,,,
West Dunbartonshire,2011,All people,1043,,,,
West Lothian,2011,All people,1424,,,,
Aberdeen City,2011,Female,1016,,,,
Aberdeenshire,2011,Female,1117,,,,
Angus,2011,Female,651,,,,
Argyll and Bute,2011,Female,526,,,,
City of Edinburgh,2011,Female,2219,,,,
Clackmannanshire,2011,Female,239,,,,
Dumfries and Galloway,2011,Female,907,,,,
Dundee City,2011,Female,841,,,,
East Ayrshire,2011,Female,685,,,,
East Dunbartonshire,2011,Female,485,,,,
East Lothian,2011,Female,512,,,,
East Renfrewshire,2011,Female,446,,,,
Falkirk,2011,Female,777,,,,
Fife,2011,Female,1935,,,,
Glasgow City,2011,Female,3202,,,,
Highland,2011,Female,1243,,,,
Inverclyde,2011,Female,525,,,,
Midlothian,2011,Female,407,,,,
Moray,2011,Female,501,,,,
Na h-Eileanan Siar,2011,Female,196,,,,
North Ayrshire,2011,Female,779,,,,
North Lanarkshire,2011,Female,1775,,,,
Orkney Islands,2011,Female,109,,,,
Perth and Kinross,2011,Female,779,,,,
Renfrewshire,2011,Female,922,,,,
Scotland,2011,Female,27748,,,,
Scottish Borders,2011,Female,660,,,,
Shetland Islands,2011,Female,128,,,,
South Ayrshire,2011,Female,757,,,,
South Lanarkshire,2011,Female,1703,,,,
Stirling,2011,Female,432,,,,
West Dunbartonshire,2011,Female,517,,,,
West Lothian,2011,Female,757,,,,
Aberdeen City,2011,Male,957,,,,
Aberdeenshire,2011,Male,1074,,,,
Angus,2011,Male,571,,,,
Argyll and Bute,2011,Male,521,,,,
City of Edinburgh,2011,Male,2013,,,,
Clackmannanshire,2011,Male,238,,,,
Dumfries and Galloway,2011,Male,800,,,,
Dundee City,2011,Male,819,,,,
East Ayrshire,2011,Male,634,,,,
East Dunbartonshire,2011,Male,465,,,,
East Lothian,2011,Male,454,,,,
East Renfrewshire,2011,Male,379,,,,
Falkirk,2011,Male,771,,,,
Fife,2011,Male,1824,,,,
Glasgow City,2011,Male,3201,,,,
Highland,2011,Male,1197,,,,
Inverclyde,2011,Male,488,,,,
Midlothian,2011,Male,375,,,,
Moray,2011,Male,482,,,,
Na h-Eileanan Siar,2011,Male,169,,,,
North Ayrshire,2011,Male,756,,,,
North Lanarkshire,2011,Male,1606,,,,
Orkney Islands,2011,Male,100,,,,
Perth and Kinross,2011,Male,717,,,,
Renfrewshire,2011,Male,916,,,,
Scotland,2011,Male,25913,,,,
Scottish Borders,2011,Male,574,,,,
Shetland Islands,2011,Male,103,,,,
South Ayrshire,2011,Male,655,,,,
South Lanarkshire,2011,Male,1511,,,,
Stirling,2011,Male,350,,,,
West Dunbartonshire,2011,Male,526,,,,
West Lothian,2011,Male,667,,,,
Aberdeen City,2012,All people,2078,,,,
Aberdeenshire,2012,All people,2235,,,,
Angus,2012,All people,1308,,,,
Argyll and Bute,2012,All people,1093,,,,
City of Edinburgh,2012,All people,4265,,,,
Clackmannanshire,2012,All people,506,,,,
Dumfries and Galloway,2012,All people,1829,,,,
Dundee City,2012,All people,1687,,,,
East Ayrshire,2012,All people,1307,,,,
East Dunbartonshire,2012,All people,973,,,,
East Lothian,2012,All people,1037,,,,
East Renfrewshire,2012,All people,863,,,,
Falkirk,2012,All people,1576,,,,
