Council area,Year,Sex,Age group,Number
Aberdeen City,2007-08,Male,40 to 44,-26
Aberdeen City,2007-08,Male,45 to 49,-23
Aberdeen City,2007-08,Male,5 to 9,35
Aberdeen City,2007-08,Male,50 to 54,-30
Aberdeen City,2007-08,Male,55 to 59,-50
Aberdeen City,2007-08,Male,60 to 64,-30
Aberdeen City,2007-08,Male,65 to 69,-40
Aberdeen City,2007-08,Male,70 to 74,-20
Aberdeen City,2007-08,Male,75 to 79,-3
Aberdeen City,2007-08,Male,80 to 84,-10
Aberdeen City,2007-08,Male,85 to 89,-3
Aberdeen City,2007-08,Male,90 and over,0
Aberdeen City,2007-08,Male,All ages,866
Aberdeen City,2008-09,Female,0 to 4,15
Aberdeen City,2008-09,Female,10 to 14,-13
Aberdeen City,2008-09,Female,15 to 19,786
Aberdeen City,2008-09,Female,20 to 24,515
Aberdeen City,2008-09,Female,25 to 29,166
Aberdeen City,2008-09,Female,30 to 34,66
Aberdeen City,2008-09,Female,35 to 39,-5
Aberdeen City,2008-09,Female,40 to 44,-28
Aberdeen City,2008-09,Female,45 to 49,5
Aberdeen City,2008-09,Female,5 to 9,29
Aberdeen City,2008-09,Female,50 to 54,-13
Aberdeen City,2008-09,Female,55 to 59,-26
Aberdeen City,2008-09,Female,60 to 64,-38
Aberdeen City,2008-09,Female,65 to 69,-20
Aberdeen City,2008-09,Female,70 to 74,3
Aberdeen City,2008-09,Female,75 to 79,-8
Aberdeen City,2008-09,Female,80 to 84,-7
Aberdeen City,2008-09,Female,85 to 89,-8
Aberdeen City,2008-09,Female,90 and over,-7
Aberdeen City,2008-09,Female,All ages,1412
Aberdeen City,2008-09,Male,0 to 4,-4
Aberdeen City,2008-09,Male,10 to 14,20
Aberdeen City,2008-09,Male,15 to 19,418
Aberdeen City,2008-09,Male,20 to 24,755
Aberdeen City,2008-09,Male,25 to 29,452
Aberdeen City,2008-09,Male,30 to 34,98
Aberdeen City,2008-09,Male,35 to 39,-18
Aberdeen City,2008-09,Male,40 to 44,-25
Aberdeen City,2008-09,Male,45 to 49,-7
